itemName,date,priceWithTax,price,quantity,shipping,profit,packaging,payPalFees,eBayFees,refund
Test2.0,04/09/2020,10.00,9,1,3.18,2.86,0.51,0.55,0.90,True
Test2.0,04/10/2020,11.00,10.01,1,1,5.41,1,0.60,1.00,
Test2.0,04/10/2020,11.00,10.02,1,1,5.42,1,0.60,1.00,
Test2.0,04/10/2020,11.00,10.03,1,1,5.43,1,0.60,1.00,
Test2.0,04/10/2020,11.00,10.04,1,1,5.44,1,0.60,1.00,
Test2.0,04/10/2020,11.00,10.05,1,1,5.45,1,0.60,1.00,
Test2.0,04/10/2020,11.00,10.06,1,1,5.45,1,0.60,1.01,
Test2.0,04/10/2020,11.00,10.07,1,1,5.46,1,0.60,1.01,
Test2.0,04/10/2020,11.00,10.08,1,1,5.47,1,0.60,1.01,
Test2.0,04/10/2020,11.00,10.09,1,1,5.48,1,0.60,1.01,
Test2.0,04/10/2020,11.00,10.1,1,1,5.49,1,0.60,1.01,
Test2.0,04/10/2020,11.00,10.11,1,1,5.50,1,0.60,1.01,
Test2.0,04/10/2020,11.00,10.11,1,1,5.50,1,0.60,1.01,
Test2.0,04/10/2020,11.00,10.12,2,0.95,4.79,0.77,0.60,1.01,
Test2.0,04/10/2020,11.00,10.13,1,3.18,3.84,0.5,0.60,1.01,
Test2.0,04/10/2020,11.00,10.14,1,1,5.53,1,0.60,1.01,
Test2.0,04/12/2020,10.15,10,1,1,5.44,1,0.56,1.00,
Test2.0,04/12/2020,10.16,10,1,0.55,6.34,0.55,0.56,1.00,
Test2.0,04/12/2020,10.17,10,1,1,5.44,1,0.56,1.00,
Test2.0,04/12/2020,10.18,10,1,1,5.44,1,0.56,1.00,
Test2.0,04/12/2020,10.19,10.00,1,1,5.44,1,0.56,1.00,
Test2.0,04/12/2020,10.20,10,1,0.7,6.03,0.71,0.56,1.00,
Test2.0,04/12/2020,10.21,10,1,1,5.44,1,0.56,1.00,
Test2.0,04/12/2020,10.22,10,1,0.89,5.74,0.81,0.56,1.00,
Test2.0,04/12/2020,10.23,10.00,1,1,5.44,1,0.56,1.00,
Test2.0,04/12/2020,10.24,10,1,1,5.44,1,0.56,1.00,
Test2.0,04/12/2020,10.24,10,1,1.25,4.18,2.01,0.56,1.00,
Test2.0,04/12/2020,10.25,10,1,1,5.69,0.75,0.56,1.00,
Test2.0,04/12/2020,10.26,10.00,1,1,5.44,1,0.56,1.00,
Test2.0,04/12/2020,10.27,10,1,1,5.44,1,0.56,1.00,
Test2.0,04/12/2020,10.28,10.00,1,1,5.44,1,0.56,1.00,
Test2.0,04/12/2020,10.29,10,1,1,5.44,1,0.56,1.00,
Test2.0,04/12/2020,10.30,10,1,0.75,5.87,0.82,0.56,1.00,
Test2.0,04/12/2020,10.31,10,1,0.89,5.30,1.24,0.57,1.00,
Test2.0,04/12/2020,10.32,10,1,1,5.43,1,0.57,1.00,
Test2.0,04/13/2020,11.07,10.33999999,1,0.87,5.59,1.25,0.60,1.03,
Test2.0,04/13/2020,11,10.22525,1,1,5.61,1,0.60,1.02,
